level	number	indep(index, 1)	PAE_contours_p[0, 0, ::]
2.14437967409404620E1	1	10	2.93594138312554390E-1 / 1.40761160546480200E2
2.14437967409404620E1	1	11	2.72690964676952060E-1 / 1.44812930764261650E2
2.14437967409404620E1	1	12	2.24325789344227510E-1 / 1.55547496029843300E2
2.14437967409404620E1	1	13	2.21110524221348870E-1 / 1.56503942218580020E2
2.14437967409404620E1	1	14	2.12828965630335800E-1 / 1.58465460384930790E2
2.14437967409404620E1	1	15	1.76910842883785360E-1 / 1.72692129127508950E2
2.14437967409404620E1	1	16	1.61506869063237390E-1 / 1.80000000000000000E2
2.14437967409404620E1	1	17	1.44901359655984100E-1 / -1.64829717309531890E2
2.14437967409404620E1	1	18	1.31144674865428490E-1 / -1.38937513051892010E2
2.14437967409404620E1	1	19	1.31611291078519990E-1 / -1.36774649210578960E2
2.14437967409404620E1	1	20	1.31343120131003180E-1 / -1.35010158602653020E2
2.14437967409404620E1	1	21	1.47393187899806160E-1 / -1.08889671987736540E2
2.14437967409404620E1	1	22	1.72791968349671300E-1 / -9.00000000000000360E1
2.14437967409404620E1	1	23	1.78608572650855010E-1 / -8.75167734191681570E1
2.14437967409404620E1	1	24	1.87050650094918680E-1 / -8.31470215086456400E1
2.14437967409404620E1	1	25	2.22794442248163360E-1 / -7.22272843495543970E1
2.14437967409404620E1	1	26	2.40386434202014820E-1 / -6.73556206199294660E1
2.14437967409404620E1	1	27	2.71846752102314860E-1 / -6.00939989105438330E1
2.14437967409404620E1	1	28	3.06158548222748550E-1 / -5.36073672414323890E1
2.14437967409404620E1	1	29	3.26744809208433470E-1 / -4.91543602306265730E1
2.14437967409404620E1	1	30	3.69134243956995120E-1 / -4.25893100515797050E1
2.14437967409404620E1	1	31	3.96690212665749840E-1 / -3.62963901372197380E1
2.14437967409404620E1	1	32	4.32039425202188450E-1 / -3.11495545231511260E1
2.14437967409404620E1	1	33	4.66118324058995630E-1 / -2.34799008902898750E1
2.14437967409404620E1	1	34	5.03448367286381250E-1 / -1.46190267424113740E1
2.14437967409404620E1	1	35	5.18930620759486950E-1 / -1.03079899590955360E1
2.14437967409404620E1	1	36	5.21646875892118090E-1 / -8.05942497873241590E0
2.14437967409404620E1	1	37	5.47412744790676880E-1 / 0.00000000000000000E0
2.14437967409404620E1	1	38	5.54755201451836480E-1 / 5.41275687801141990E0
2.14437967409404620E1	1	39	5.67595440366667960E-1 / 9.41576473918375360E0
2.14437967409404620E1	1	40	5.77508894164637270E-1 / 1.65994109493433270E1
2.14437967409404620E1	1	41	5.83191515035679140E-1 / 1.85688969894466880E1
2.14437967409404620E1	1	42	5.96108815392822680E-1 / 2.74367023662209370E1
2.14437967409404620E1	1	43	5.97092301291100910E-1 / 2.78103662851560920E1
2.14437967409404620E1	1	44	5.98457333900270780E-1 / 2.96193146556137420E1

level	number	indep(index, 1)	PAE_contours_p[3, 0, ::]
2.54437967409404650E1	1	0	5.57718558022536560E-1 / 9.26035498292359800E1
2.54437967409404650E1	1	1	5.38615979480764830E-1 / 9.45608757776328270E1
2.54437967409404650E1	1	2	4.74422839104029310E-1 / 1.01865569515341960E2
2.54437967409404650E1	1	3	4.27567635132163470E-1 / 1.05857055464582530E2
2.54437967409404650E1	1	4	3.94140109021297520E-1 / 1.09545348415028610E2
2.54437967409404650E1	1	5	3.43803909985484110E-1 / 1.13859875345175740E2
2.54437967409404650E1	1	6	3.12695997326925920E-1 / 1.17017246936837220E2
2.54437967409404650E1	1	7	2.70878528376448720E-1 / 1.20864658987339340E2
2.54437967409404650E1	1	8	2.27364892431033370E-1 / 1.25233113559168660E2
2.54437967409404650E1	1	9	2.01971421104940420E-1 / 1.28160434226360960E2
2.54437967409404650E1	1	10	1.35991871203010040E-1 / 1.36576788338835750E2
2.54437967409404650E1	1	11	1.35568554002622270E-1 / 1.36669986917261070E2
2.54437967409404650E1	1	12	1.35385064989747120E-1 / 1.36695591671312360E2
2.54437967409404650E1	1	13	7.29391470205032810E-2 / 1.53987030445031550E2
2.54437967409404650E1	1	14	3.91677089666195410E-2 / 1.80000000000000000E2
2.54437967409404650E1	1	15	3.15754897761206800E-2 / -1.36774649210579050E2
2.54437967409404650E1	1	16	4.24169113616215570E-2 / -9.00000000000000180E1
2.54437967409404650E1	1	17	7.29883799259849560E-2 / -6.83291134631364900E1
2.54437967409404650E1	1	18	1.13807365657666120E-1 / -5.46779410498487200E1
2.54437967409404650E1	1	19	1.35803020569401430E-1 / -5.15903290404431390E1
2.54437967409404650E1	1	20	1.49718914925522010E-1 / -4.91222482808321100E1
2.54437967409404650E1	1	21	2.02750572205060030E-1 / -4.13986268752030280E1
2.54437967409404650E1	1	22	2.42317732484312740E-1 / -3.70709488380055510E1
2.54437967409404650E1	1	23	2.77396648408051760E-1 / -3.16355385220687470E1
2.54437967409404650E1	1	24	3.24953140381625930E-1 / -2.68448059515764290E1
2.54437967409404650E1	1	25	3.95802799744335680E-1 / -1.52495373295486330E1
2.54437967409404650E1	1	26	4.06477405002596990E-1 / -1.41550144629644550E1
2.54437967409404650E1	1	27	4.11725530877787450E-1 / -1.30341437026413540E1
2.54437967409404650E1	1	28	4.15936394988394390E-1 / -1.13191047871377020E1
2.54437967409404650E1	1	29	4.65468483673051030E-1 / 0.00000000000000000E0
2.54437967409404650E1	1	30	4.97830284578182970E-1 / 1.02727713739433750E1
2.54437967409404650E1	1	31	5.00143926497758250E-1 / 1.06996633961803100E1
2.54437967409404650E1	1	32	5.02644926696881100E-1 / 1.20811071474618490E1
2.54437967409404650E1	1	33	5.23212034242745980E-1 / 2.07904004282553420E1
2.54437967409404650E1	1	34	5.25117258809601940E-1 / 2.25597158009046610E1
2.54437967409404650E1	1	35	5.43354505878301990E-1 / 3.08430540274151270E1
2.54437967409404650E1	1	36	5.48127164867882040E-1 / 3.43900362873539580E1
2.54437967409404650E1	1	37	5.63460254134221120E-1 / 4.12382899597058650E1
2.54437967409404650E1	1	38	5.75042897369622530E-1 / 4.79548062764251440E1
2.54437967409404650E1	1	39	5.86066918919906500E-1 / 5.23921437077280230E1
2.54437967409404650E1	1	40	5.93007533389497790E-1 / 5.92621592149231710E1

level	number	indep(index, 1)	PAE_contours_p[4, 0, ::]
2.94437967409404640E1	1	0	4.78049814908680840E-1 / 9.00000000000000000E1
2.94437967409404640E1	1	1	4.64427709026453430E-1 / 9.14168561644535420E1
2.94437967409404640E1	1	2	4.39704685392029140E-1 / 9.27665702975054880E1
2.94437967409404640E1	1	3	3.74665879416666140E-1 / 9.75373863197393650E1
2.94437967409404640E1	1	4	3.19494448009887670E-1 / 9.97132264475589560E1
2.94437967409404640E1	1	5	2.84147335338594060E-1 / 1.01369368625745550E2
2.94437967409404640E1	1	6	2.35778486797975260E-1 / 1.02024343811079850E2
2.94437967409404640E1	1	7	1.89542020085048970E-1 / 1.01534250084394810E2
2.94437967409404640E1	1	8	1.61383794591036600E-1 / 1.00209570457089430E2
2.94437967409404640E1	1	9	1.05973522279899600E-1 / 8.99999999999999640E1
2.94437967409404640E1	1	10	9.75140211012627840E-2 / 8.72638619869091770E1
2.94437967409404640E1	1	11	9.32107074548946810E-2 / 8.50079780104146470E1
2.94437967409404640E1	1	12	6.46253388358391860E-2 / 4.32253507894210200E1
2.94437967409404640E1	1	13	9.75395181210213380E-2 / 0.00000000000000000E0
2.94437967409404640E1	1	14	9.87670739995998660E-2 / -6.67773310023639600E-1
2.94437967409404640E1	1	15	9.99936083127246890E-2 / -1.10798962973211950E0
2.94437967409404640E1	1	16	1.67820373371084150E-1 / -1.11410772213311750E1
2.94437967409404640E1	1	17	2.03848419427876770E-1 / -1.27348124319543520E1
2.94437967409404640E1	1	18	2.58049974377890300E-1 / -9.14455118339256150E0
2.94437967409404640E1	1	19	3.01146421410790180E-1 / -7.70328039690157950E0
2.94437967409404640E1	1	20	3.56588221751888530E-1 / 0.00000000000000000E0
2.94437967409404640E1	1	21	4.00442655207875480E-1 / 6.98088180960852170E0
2.94437967409404640E1	1	22	4.25065118296470160E-1 / 1.26182407052416990E1
2.94437967409404640E1	1	23	4.30744113668903770E-1 / 1.55798821615385100E1
2.94437967409404640E1	1	24	4.61257039362568210E-1 / 2.37424737519841060E1
2.94437967409404640E1	1	25	4.72609638410892070E-1 / 2.94266182430920780E1
2.94437967409404640E1	1	26	4.90255293375658670E-1 / 3.46259902877393430E1
2.94437967409404640E1	1	27	5.04609132592032330E-1 / 4.15679130782424800E1
2.94437967409404640E1	1	28	5.17294455923014770E-1 / 4.58913772908278440E1
2.94437967409404640E1	1	29	5.34540745766854730E-1 / 5.37875401752265780E1
2.94437967409404640E1	1	30	5.45741632850581840E-1 / 5.82925424464942840E1
2.94437967409404640E1	1	31	5.59076584533323030E-1 / 6.72951135938485570E1
2.94437967409404640E1	1	32	5.59794407530827960E-1 / 7.14092124243386190E1
2.94437967409404640E1	1	33	5.64549908790719530E-1 / 7.40818176720312670E1
2.94437967409404640E1	1	34	5.58545907612781360E-1 / 7.74373243074794270E1
2.94437967409404640E1	1	35	5.57716831880477850E-1 / 7.82926753746627210E1
2.94437967409404640E1	1	36	5.46294892943178390E-1 / 8.11516331092768620E1
2.94437967409404640E1	1	37	5.38917365712431100E-1 / 8.23722125227541110E1
2.94437967409404640E1	1	38	5.23638887889632000E-1 / 8.48306550847533990E1
2.94437967409404640E1	1	39	4.85095858529133570E-1 / 8.90208504029671490E1
2.94437967409404640E1	1	40	4.78049814908680840E-1 / 9.00000000000000000E1

level	number	indep(index, 1)	PAE_contours_p[5, 0, ::]
3.34437967409404640E1	1	0	4.84458296806164500E-1 / 7.51115174229145840E1
3.34437967409404640E1	1	1	4.78514729512944200E-1 / 7.59925369146264720E1
3.34437967409404640E1	1	2	4.32946719653824450E-1 / 8.07778506614570450E1
3.34437967409404640E1	1	3	3.73525569650003230E-1 / 8.39259287454224000E1
3.34437967409404640E1	1	4	3.23383694397109390E-1 / 8.35757556700020740E1
3.34437967409404640E1	1	5	2.80578655931012390E-1 / 8.31424679352489270E1
3.34437967409404640E1	1	6	2.37759879207252880E-1 / 7.89775157934750820E1
3.34437967409404640E1	1	7	1.96009039358247070E-1 / 7.13479332749556950E1
3.34437967409404640E1	1	8	1.80835891953820350E-1 / 6.58735530840555410E1
3.34437967409404640E1	1	9	1.65908675677292840E-1 / 5.41644238198266060E1
3.34437967409404640E1	1	10	1.66716895727408070E-1 / 4.36425081982177330E1
3.34437967409404640E1	1	11	1.77038306136811750E-1 / 3.16347991502644190E1
3.34437967409404640E1	1	12	1.94732655395665000E-1 / 2.28451981335143640E1
3.34437967409404640E1	1	13	2.09114773696762100E-1 / 1.85283854481694870E1
3.34437967409404640E1	1	14	2.96144525584143280E-1 / 1.59912129159735340E1
3.34437967409404640E1	1	15	3.08080128257224970E-1 / 1.55647048011627880E1
3.34437967409404640E1	1	16	3.19546631765376250E-1 / 1.68932980857431510E1
3.34437967409404640E1	1	17	3.29030602163769940E-1 / 1.92680008721727840E1
3.34437967409404640E1	1	18	3.89373305287737640E-1 / 2.84868404237649480E1
3.34437967409404640E1	1	19	4.18526741992369190E-1 / 3.69788156658178390E1
3.34437967409404640E1	1	20	4.34542661962047290E-1 / 3.98715094752189140E1
3.34437967409404640E1	1	21	4.57762673661785070E-1 / 4.89673912404400100E1
3.34437967409404640E1	1	22	4.69377300359265350E-1 / 5.23092241042724380E1
3.34437967409404640E1	1	23	4.83944753923267430E-1 / 5.96606375547780130E1
3.34437967409404640E1	1	24	4.97177606798715120E-1 / 6.71550826510888220E1
3.34437967409404640E1	1	25	4.97026144981303200E-1 / 6.77160031180010250E1
3.34437967409404640E1	1	26	4.92210758184141550E-1 / 7.06074920902011090E1
3.34437967409404640E1	1	27	4.85163924919180540E-1 / 7.49493249619884420E1
3.34437967409404640E1	1	28	4.84458296806164500E-1 / 7.51115174229145840E1

level	number	indep(index, 1)	PAE_contours_p[6, 0, ::]
3.74437967409404630E1	1	0	3.37643480435873620E-1 / 5.87962340823306830E1
3.74437967409404630E1	1	1	3.27585494148970910E-1 / 5.82527837120290660E1
3.74437967409404630E1	1	2	3.25867836043473470E-1 / 5.76672812051545950E1
3.74437967409404630E1	1	3	3.22562425454822140E-1 / 5.63942369860313520E1
3.74437967409404630E1	1	4	3.34643188951521700E-1 / 5.63505321343896350E1
3.74437967409404630E1	1	5	3.36033739140228870E-1 / 5.75531394429994500E1
3.74437967409404630E1	1	6	3.37643480435873620E-1 / 5.87962340823306830E1


level	number	indep(index, 1)	Pdel_contours_p[0, 0, ::]
1.45915564740925660E1	1	0	5.98247258830090000E-1 / 1.74756056065641910E2
1.45915564740925660E1	1	1	5.89858732318275610E-1 / 1.79131466092882690E2
1.45915564740925660E1	1	2	5.88453607760598980E-1 / 1.80000000000000000E2
1.45915564740925660E1	1	3	5.75762855823688020E-1 / -1.72877808180330340E2
1.45915564740925660E1	1	4	5.72992648236637690E-1 / -1.70673721040781110E2
1.45915564740925660E1	1	5	5.64747451966995850E-1 / -1.64274961112552660E2
1.45915564740925660E1	1	6	5.61769744102516370E-1 / -1.60695536877830450E2
1.45915564740925660E1	1	7	5.57496876167771750E-1 / -1.55026893062569870E2
1.45915564740925660E1	1	8	5.55694344649068750E-1 / -1.49913734481305250E2
1.45915564740925660E1	1	9	5.54522743498307860E-1 / -1.45083958813197040E2
1.45915564740925660E1	1	10	5.55774997114114910E-1 / -1.38063432944964750E2
1.45915564740925660E1	1	11	5.56499857540706970E-1 / -1.34359312560587880E2
1.45915564740925660E1	1	12	5.63710806553210820E-1 / -1.24550773301814210E2
1.45915564740925660E1	1	13	5.64074169551170710E-1 / -1.23212659868015680E2
1.45915564740925660E1	1	14	5.65400164426424650E-1 / -1.18954823414225540E2
1.45915564740925660E1	1	15	5.80925878247028930E-1 / -1.09306180475729890E2
1.45915564740925660E1	1	16	5.84358726198354810E-1 / -1.07555334645780180E2

level	number	indep(index, 1)	Pdel_contours_p[1, 0, ::]
1.55915564740925670E1	1	0	5.99707755905026120E-1 / -6.80300740208624250E1
1.55915564740925670E1	1	1	5.94441723791443350E-1 / -6.95953925278076470E1

level	number	indep(index, 1)	Pdel_contours_p[1, 1, ::]
1.55915564740925670E1	2	0	5.97500839390308960E-1 / 1.46248976179110280E2
1.55915564740925670E1	2	1	5.85254220285307360E-1 / 1.49556751958087060E2
1.55915564740925670E1	2	2	5.80414276459935950E-1 / 1.51317683861849340E2
1.55915564740925670E1	2	3	5.61969799806267380E-1 / 1.56213891598070180E2
1.55915564740925670E1	2	4	5.51021793838815020E-1 / 1.60303594762800180E2
1.55915564740925670E1	2	5	5.40013913078146590E-1 / 1.63667350473690430E2
1.55915564740925670E1	2	6	5.25040319733439280E-1 / 1.69813248170015420E2
1.55915564740925670E1	2	7	5.19862171346843120E-1 / 1.71711588534844980E2
1.55915564740925670E1	2	8	5.03223057623359790E-1 / 1.80000000000000000E2
1.55915564740925670E1	2	9	5.02605486771578390E-1 / -1.79703472129019910E2
1.55915564740925670E1	2	10	4.99225734398047470E-1 / -1.78188652933022000E2
1.55915564740925670E1	2	11	4.86032494454840070E-1 / -1.70684465736722340E2
1.55915564740925670E1	2	12	4.83642069049920660E-1 / -1.68930732676815620E2
1.55915564740925670E1	2	13	4.73384740817031610E-1 / -1.61057311977732160E2
1.55915564740925670E1	2	14	4.70042995846524470E-1 / -1.56727749500413150E2
1.55915564740925670E1	2	15	4.66234478841138780E-1 / -1.50966994669768400E2
1.55915564740925670E1	2	16	4.65352322623883290E-1 / -1.43228532358794290E2
1.55915564740925670E1	2	17	4.65318524228833840E-1 / -1.40812690042874380E2
1.55915564740925670E1	2	18	4.65413962748697510E-1 / -1.36048216982817110E2
1.55915564740925670E1	2	19	4.68421550482251450E-1 / -1.30720159060115070E2
1.55915564740925670E1	2	20	4.70410806692109240E-1 / -1.27853401947208310E2
1.55915564740925670E1	2	21	4.75952649946440240E-1 / -1.20680627323189780E2
1.55915564740925670E1	2	22	4.83136528605667780E-1 / -1.14798437504903190E2
1.55915564740925670E1	2	23	4.87408520394517900E-1 / -1.12338190993113570E2
1.55915564740925670E1	2	24	4.92219165208767610E-1 / -1.09395287771603570E2
1.55915564740925670E1	2	25	5.00423802462476710E-1 / -1.04259484923857680E2
1.55915564740925670E1	2	26	5.02317660274168530E-1 / -1.02929476706506830E2
1.55915564740925670E1	2	27	5.13266471521062860E-1 / -9.76747458072300740E1
1.55915564740925670E1	2	28	5.18191642953482120E-1 / -9.54000122491219220E1
1.55915564740925670E1	2	29	5.25132933935660340E-1 / -9.26303773222280570E1
1.55915564740925670E1	2	30	5.31982112330261000E-1 / -9.00000000000000000E1
1.55915564740925670E1	2	31	5.36000614809209000E-1 / -8.84437496416135720E1
1.55915564740925670E1	2	32	5.44268800862707900E-1 / -8.56594792465519280E1
1.55915564740925670E1	2	33	5.46416211020654430E-1 / -8.47875129961987460E1
1.55915564740925670E1	2	34	5.55396842154747270E-1 / -8.18897078413362860E1
1.55915564740925670E1	2	35	5.56382583667586590E-1 / -8.14280961548608850E1
1.55915564740925670E1	2	36	5.66082856853944440E-1 / -7.84323704197170280E1
1.55915564740925670E1	2	37	5.66397358464742150E-1 / -7.82496796348856090E1
1.55915564740925670E1	2	38	5.75631899213127340E-1 / -7.54389812490685510E1

level	number	indep(index, 1)	Pdel_contours_p[2, 0, ::]
1.65915564740925660E1	1	0	5.95829948946303480E-1 / 1.26127139149551120E2
1.65915564740925660E1	1	1	5.93672218164584290E-1 / 1.26539933572115860E2
1.65915564740925660E1	1	2	5.89336487481408260E-1 / 1.28018594372063600E2
1.65915564740925660E1	1	3	5.70170346390595300E-1 / 1.31244563159075710E2
1.65915564740925660E1	1	4	5.46730117959456590E-1 / 1.37206063180725520E2
1.65915564740925660E1	1	5	5.43299182121838880E-1 / 1.37827919594131230E2
1.65915564740925660E1	1	6	5.32868758384555360E-1 / 1.40043590010525600E2
1.65915564740925660E1	1	7	5.12592975842674910E-1 / 1.44688905521203370E2
1.65915564740925660E1	1	8	5.05893423206524950E-1 / 1.46588218018771730E2
1.65915564740925660E1	1	9	4.81311764887372990E-1 / 1.52354651021379260E2
1.65915564740925660E1	1	10	4.67193252510070960E-1 / 1.56577351891450320E2
1.65915564740925660E1	1	11	4.51397536523127930E-1 / 1.60851511147341660E2
1.65915564740925660E1	1	12	4.32067277395471550E-1 / 1.67589540343117300E2
1.65915564740925660E1	1	13	4.24448444634271200E-1 / 1.70172316939966660E2
1.65915564740925660E1	1	14	4.02499207786705960E-1 / 1.80000000000000000E2
1.65915564740925660E1	1	15	4.01920956535925100E-1 / -1.79730045730454260E2
1.65915564740925660E1	1	16	3.99645314228209610E-1 / -1.78762750628607960E2
1.65915564740925660E1	1	17	3.81645500331576490E-1 / -1.69001256193290960E2
1.65915564740925660E1	1	18	3.77321289496297440E-1 / -1.65753405195718820E2
1.65915564740925660E1	1	19	3.67878570577119430E-1 / -1.57480548573501180E2
1.65915564740925660E1	1	20	3.63684149831845980E-1 / -1.49293052268227380E2
1.65915564740925660E1	1	21	3.62537357344355820E-1 / -1.45644629301834330E2
1.65915564740925660E1	1	22	3.61834661750310000E-1 / -1.39417562106637540E2
1.65915564740925660E1	1	23	3.63505330755943890E-1 / -1.33913496106082700E2
1.65915564740925660E1	1	24	3.65151214784666680E-1 / -1.30280063715016410E2
1.65915564740925660E1	1	25	3.70501987581408090E-1 / -1.22423634725084730E2
1.65915564740925660E1	1	26	3.78436136900711070E-1 / -1.15612665812944250E2
